tour_id,participant_id,person_id,household_id,participant_num
147,1471,94,2233,1
147,1472,95,2233,2
147,1473,96,2233,3
172,1721,111,1991,1
172,1722,112,1991,2
736,7362,516,267,1
736,7364,518,267,2
942,9421,677,3053,1
942,9423,679,3053,2
1174,11742,844,1157,1
1174,11743,845,1157,2
1239,12392,885,2961,1
1239,12393,886,2961,2
1282,12821,920,2156,1
1282,12822,921,2156,2
1427,14271,1033,2100,1
1427,14273,1035,2100,2
1427,14274,1036,2100,3
1504,15041,1091,274,1
1504,15042,1092,274,2
1562,15622,1120,2191,1
1562,15624,1122,2191,2
1599,15991,1147,277,1
1599,15992,1148,277,2
1700,17001,1218,1439,1
1700,17003,1220,1439,2
1729,17291,1240,169,1
1729,17293,1242,169,2
1912,19121,1383,229,1
1912,19123,1385,229,2
1921,19211,1389,674,1
1921,19213,1391,674,2
2005,20051,1445,333,1
2005,20053,1447,333,2
2089,20891,1510,89,1
2089,20893,1511,89,2
2443,24431,1760,2471,1
2443,24433,1761,2471,2
2444,24441,1760,2471,1
2444,24443,1761,2471,2
2627,26271,1893,2656,1
2627,26273,1895,2656,2
2628,26281,1893,2656,1
2628,26283,1895,2656,2
2896,28961,2068,1566,1
2896,28962,2069,1566,2
2897,28971,2068,1566,1
2897,28972,2069,1566,2
2921,29211,2086,764,1
2921,29212,2087,764,2
2921,29213,2088,764,3
2921,29214,2089,764,4
2921,29215,2090,764,5
3051,30511,2178,830,1
3051,30512,2179,830,2
3237,32371,2306,2267,1
3237,32373,2307,2267,2
3611,36111,2577,1951,1
3611,36113,2579,1951,2
4251,42511,3007,2428,1
4251,42512,3008,2428,2
4275,42751,3026,1812,1
4275,42753,3028,1812,2
4286,42862,3034,35,1
4286,42865,3037,35,2
4300,43001,3046,74,1
4300,43003,3048,74,2
4301,43011,3046,74,1
4301,43013,3048,74,2
4503,45032,3180,1213,1
4503,45033,3181,1213,2
4542,45422,3206,2564,1
4542,45423,3207,2564,2
4542,45424,3208,2564,3
4916,49162,3452,1726,1
4916,49163,3453,1726,2
4961,49612,3486,592,1
4961,49614,3487,592,2
5174,51741,3629,2552,1
5174,51743,3631,2552,2
5174,51744,3632,2552,3
5771,57713,4049,869,1
5771,57714,4050,869,2
5768,57682,4048,869,3
5768,57683,4049,869,1
5768,57684,4050,869,2
6058,60581,4242,1538,1
6058,60582,4243,1538,2
6248,62481,4366,492,1
6248,62482,4367,492,2
6412,64121,4496,1390,1
6412,64122,4497,1390,2
6476,64761,4542,2137,2
6476,64763,4544,2137,1
6479,64792,4543,2137,3
6479,64793,4544,2137,1
6522,65221,4572,3011,1
6522,65223,4573,3011,2
6576,65761,4613,2828,1
6576,65762,4614,2828,2
6623,66231,4642,428,1
6623,66233,4644,428,2
6818,68181,4782,1345,1
6818,68182,4783,1345,2
